,Nombre,Country,Source,Latitud,Longitud,Elevation,Fecha,Tipo,Comment,2H,18O,H3,H3Error,ExcessDeuterio,Conductivity,Precipitation,TempAir,TempWater,Vp,
42,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/02/1989,Precipitation,,-12.2,-3.05,4.1,,12.2,,41,12.7,,11.5,
43,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/03/1989,Precipitation,,-37,-6.19,4.6,,12.52,,154,12.6,,11.7,
44,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/04/1989,Precipitation,,2.5,-1.51,5.2,,14.58,,33,13.8,,11.9,
45,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/05/1989,Precipitation,,-83.2,-11.87,4.1,,11.76,,53,13.6,,12.3,
46,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/06/1989,Precipitation,,-122.1,-15.62,4.2,,2.86,,48,13.8,,11.9,
47,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/07/1989,Precipitation,,-107,-15.03,3.7,,13.24,,39,12.6,,11.1,
48,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/08/1989,Precipitation,,-48.3,-7.84,4.4,,14.42,,35,13.1,,11.7,
49,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/09/1989,Precipitation,,-62.1,-9.67,5,,15.26,,85,13,,11.7,
50,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/10/1989,Precipitation,,-64.5,-9.64,4.6,,12.62,,82,13.5,,12.2,
51,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/1989,Precipitation,,-42.1,-6.81,4.5,,12.38,,31,13.7,,12.1,
52,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/1989,Precipitation,,-65,-9.89,4,,14.12,,66,12.8,,11.1,
53,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/05/1999,Precipitation,,-95,-13.08,3.05,,9.64,,69,13.4,,12.1,
54,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/06/1999,Precipitation,,-100.45,-13.58,2.78,,8.23,,117,13.1,,12.4,
55,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/07/1999,Precipitation,,-60.2,-8.44,1.74,,7.28,,30,13.2,,11,
56,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/10/2001,Precipitation,,-43.3,-7.26,2.42,,14.78,,43.1,13.6,,12.4,
57,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/2001,Precipitation,,-27.4,-5.36,1.49,,15.48,,53.8,14.1,,13.3,
58,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/01/2002,Precipitation,,-5,-2.7,2.33,,16.6,,27,13.1,,11.5,
59,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/02/2002,Precipitation,,0.85,-1.41,1.75,,12.13,,17,13.8,,11.9,
60,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/03/2002,Precipitation,,-50.1,-7.67,1.82,,11.26,,112,13.8,,12.4,
61,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/04/2002,Precipitation,,,,,,,,,,,,
62,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/05/2002,Precipitation,,,,,,,,116,14.3,,12.9,
63,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/06/2002,Precipitation,,,,,,,,75,13.8,,12.4,
64,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/07/2002,Precipitation,,,,,,,,40,13.6,,11.7,
65,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/08/2002,Precipitation,,,,,,,,23,13.5,,11.8,
66,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/09/2002,Precipitation,,,,,,,,46,13.2,,11.7,
67,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/10/2002,Precipitation,,,,,,,,56,13.6,,12.4,
68,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/11/2002,Precipitation,,-70.9,-9.82,,,7.66,,44,13.4,,12.1,
69,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/12/2002,Precipitation,,-69.4,-9.27,,,4.76,,64,13.9,,12.6,
70,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/01/2003,Precipitation,,,,,,,,3,,,,
71,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/02/2003,Precipitation,,-13.5,-3.8,2.35,,16.9,,24.1,14.2,,12.6,
72,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/03/2003,Precipitation,,,,,,,,75,,,,
73,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/04/2003,Precipitation,,-134.5,-18.28,2.27,,11.74,,127.8,14.1,,13,
74,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/05/2003,Precipitation,,-117.8,-15.39,1.84,,5.32,,46.4,14.1,,12.4,
75,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/06/2003,Precipitation,previously presented H3 value of 45.4,TU removed 2019-12-17.,-106.4,-14.19,,,7.12,,61.5,12.9,,11.7
76,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/07/2003,Precipitation,,-90.7,-12.19,1.82,,6.82,,31.1,13.1,,11.2,
77,BOGOTA,CO,GNIP - Monthly,4.7,-74.166667,2565,15/08/2003,Precipitation,,-85.7,-11.83,2.12,,8.94,,67.6,13.1,,11.1,
